UniProt Accession,Gene Symbol,Protein Name,Expert Opinion,MS,IHC,mRNA
Q9NSK0,KLC4,Kinesin light chain 4,,"saliva: 11/1.64 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q6VAB6,KSR2,Kinase suppressor of Ras 2,,"saliva: 292/20.08 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,1.2
Q8IVT5,KSR1,Kinase suppressor of Ras 1,,"saliva: 31/3.02 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,4.7
Q76NI1,KNDC1,Kinase non-catalytic C-lobe domain-containing protein 1,,"saliva: 782/37.38 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,2.5
B2CW77,KLLN,Killin,,"saliva: 458/117.84 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
A4D1S0,KLRG2,Killer cell lectin-like receptor subfamily G member 2,,"saliva: 50/15.22 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5T011,SZT2,KICSTOR complex protein SZT2,,"saliva: 365/11.5 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,11.4
Q7Z7F0,KHDC4,KH homology domain-containing protein 4,,"saliva: 3/0.09 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5T749,KPRP,Keratinocyte proline-rich protein,,"saliva: 41/8.43 peptides
parotid gland: 7/0.13 peptides
sm/sl glands: 7/0.33 peptides",n/a,n/a
Q6KB66,KRT80,"Keratin, type II cytoskeletal 80",,"saliva: 2/0.34 peptides
parotid gland: 12/0.33 peptides
sm/sl glands: 21/3.59 peptides",n/a,n/a
P05787,KRT8,"Keratin, type II cytoskeletal 8",,"saliva: 1185/149.2 peptides
parotid gland: 354/16.31 peptides
sm/sl glands: 195/27.89 peptides",medium,36.9
Q5XKE5,KRT79,"Keratin, type II cytoskeletal 79",,"saliva: 684/92.14 peptides
parotid gland: 527/30.6 peptides
sm/sl glands: 301/48.25 peptides",low,0.1
Q8N1N4,KRT78,"Keratin, type II cytoskeletal 78",,"saliva: 85/6.3 peptides
parotid gland: 24/1.71 peptides
sm/sl glands: 59/17.37 peptides",n/a,n/a
O95678,KRT75,"Keratin, type II cytoskeletal 75",,"saliva: 1291/156.01 peptides
parotid gland: 698/36.49 peptides
sm/sl glands: 382/56.6 peptides",low,0
Q7RTS7,KRT74,"Keratin, type II cytoskeletal 74",,"saliva: 785/83.27 peptides
parotid gland: 336/13.38 peptides
sm/sl glands: 176/22.59 peptides",n/a,n/a
Q86Y46,KRT73,"Keratin, type II cytoskeletal 73",,"saliva: 63/8.19 peptides
parotid gland: 82/5.41 peptides
sm/sl glands: 75/19.82 peptides",n/a,n/a
Q14CN4,KRT72,"Keratin, type II cytoskeletal 72",,"saliva: 68/9.46 peptides
parotid gland: 26/1.52 peptides
sm/sl glands: 22/6.48 peptides",n/a,n/a
Q3SY84,KRT71,"Keratin, type II cytoskeletal 71",,"saliva: 19/2.45 peptides
parotid gland: 18/1.13 peptides
sm/sl glands: 27/7.5 peptides",n/a,n/a
P08729,KRT7,"Keratin, type II cytoskeletal 7",,"saliva: 959/122.92 peptides
parotid gland: 345/17.27 peptides
sm/sl glands: 213/33.14 peptides",high,142.6
P48668,KRT6C,"Keratin, type II cytoskeletal 6C",,"saliva: 4813/540.98 peptides
parotid gland: 2254/184.48 peptides
sm/sl glands: 934/168.24 peptides",not detected,16.3
P04259,KRT6B,"Keratin, type II cytoskeletal 6B",,"saliva: 1940/201.72 peptides
parotid gland: 2168/194.71 peptides
sm/sl glands: 840/169.93 peptides",not detected,17.8
P02538,KRT6A,"Keratin, type II cytoskeletal 6A",,"saliva: 5417/572.57 peptides
parotid gland: 2373/201.63 peptides
sm/sl glands: 1011/182.11 peptides",not detected,37.6
P13647,KRT5,"Keratin, type II cytoskeletal 5",,"saliva: 4428/460.88 peptides
parotid gland: 1844/103.51 peptides
sm/sl glands: 956/133.53 peptides",high,46.9
P19013,KRT4,"Keratin, type II cytoskeletal 4",,"saliva: 7756/911.31 peptides
parotid gland: 3170/281.13 peptides
sm/sl glands: 1761/314.51 peptides",not detected,48.1
P19013,KRT4,"Keratin, type II cytoskeletal 4",,"saliva: 7756/911.31 peptides
parotid gland: 3170/281.13 peptides
sm/sl glands: 1761/314.51 peptides",not detected,48.1
P12035,KRT3,"Keratin, type II cytoskeletal 3",,"saliva: 2884/355.58 peptides
parotid gland: 641/33.64 peptides
sm/sl glands: 352/54.04 peptides",?,15.9
Q01546,KRT76,"Keratin, type II cytoskeletal 2 oral",,"saliva: 192/16.86 peptides
parotid gland: 66/8.9 peptides
sm/sl glands: 79/28.42 peptides",n/a,n/a
P35908,KRT2,"Keratin, type II cytoskeletal 2 epidermal",,"saliva: 4411/479.86 peptides
parotid gland: 1154/126.74 peptides
sm/sl glands: 1082/234.53 peptides",n/a,n/a
Q7Z794,KRT77,"Keratin, type II cytoskeletal 1b",,"saliva: 134/20.07 peptides
parotid gland: 110/25.53 peptides
sm/sl glands: 73/27.9 peptides",n/a,n/a
P04264,KRT1,"Keratin, type II cytoskeletal 1",,"saliva: 4853/511.61 peptides
parotid gland: 1721/212.37 peptides
sm/sl glands: 1946/434.3 peptides",not detected,16.2
P78386,KRT85,"Keratin, type II cuticular Hb5",,"saliva: 325/40.69 peptides
parotid gland: 76/2.78 peptides
sm/sl glands: 366/31.68 peptides",n/a,n/a
Q9NSB2,KRT84,"Keratin, type II cuticular Hb4",,"saliva: 1988/218.07 peptides
parotid gland: 305/13.14 peptides
sm/sl glands: 190/24.88 peptides",n/a,n/a
P78385,KRT83,"Keratin, type II cuticular Hb3",,"saliva: 214/31.14 peptides
parotid gland: 58/2.5 peptides
sm/sl glands: 366/47.78 peptides",not detected,1.6
Q9NSB4,KRT82,"Keratin, type II cuticular Hb2",,"saliva: 46/3.95 peptides
parotid gland: 2/55.84 peptides
sm/sl glands: 8/2.99 peptides",n/a,n/a
P35527,KRT9,"Keratin, type I cytoskeletal 9",,"saliva: 2078/290.7 peptides
parotid gland: 1220/221.4 peptides
sm/sl glands: 1537/433.99 peptides",n/a,n/a
Q7Z3Y7,KRT28,"Keratin, type I cytoskeletal 28",,"saliva: 136/23.64 peptides
parotid gland: 165/25.86 peptides
sm/sl glands: 133/32.4 peptides",n/a,n/a
Q7Z3Y8,KRT27,"Keratin, type I cytoskeletal 27",,"saliva: 232/40.12 peptides
parotid gland: 288/36.46 peptides
sm/sl glands: 233/61.34 peptides",n/a,n/a
Q7Z3Y9,KRT26,"Keratin, type I cytoskeletal 26",,"saliva: 128/26.37 peptides
parotid gland: 8/1.09 peptides
sm/sl glands: 9/4.44 peptides",n/a,n/a
Q2M2I5,KRT24,"Keratin, type I cytoskeletal 24",,"saliva: 98/16.69 peptides
parotid gland: 68/21.81 peptides
sm/sl glands: 39/17.63 peptides",n/a,n/a
P08727,KRT19,"Keratin, type I cytoskeletal 19",,"saliva: 2039/279.07 peptides
parotid gland: 599/83.52 peptides
sm/sl glands: 263/67.54 peptides",high,103
P05783,KRT18,"Keratin, type I cytoskeletal 18",,"saliva: 59/9.26 peptides
parotid gland: 59/12.9 peptides
sm/sl glands: 28/12.47 peptides",n/a,n/a
Q04695,KRT17,"Keratin, type I cytoskeletal 17",,"saliva: 1943/273.45 peptides
parotid gland: 588/79.36 peptides
sm/sl glands: 365/82.95 peptides",high,26.8
P08779,KRT16,"Keratin, type I cytoskeletal 16",,"saliva: 3620/498.79 peptides
parotid gland: 1006/141 peptides
sm/sl glands: 680/165.5 peptides",not detected,15.5
P19012,KRT15,"Keratin, type I cytoskeletal 15",,"saliva: 2295/400.35 peptides
parotid gland: 969/143.5 peptides
sm/sl glands: 566/144.7 peptides",low,15.1
P02533,KRT14,"Keratin, type I cytoskeletal 14",,"saliva: 3687/469.69 peptides
parotid gland: 1110/138.29 peptides
sm/sl glands: 700/151.73 peptides",not detected,30.8
P13646,KRT13,"Keratin, type I cytoskeletal 13",,"saliva: 821/144.88 peptides
parotid gland: 3682/561.24 peptides
sm/sl glands: 1699/412.39 peptides",not detected,134.9
Q99456,KRT12,"Keratin, type I cytoskeletal 12",,"saliva: 23/4.34 peptides
parotid gland: 57/9.84 peptides
sm/sl glands: 25/8.9 peptides",n/a,n/a
P13645,KRT10,"Keratin, type I cytoskeletal 10",,"saliva: 3649/539.94 peptides
parotid gland: 1432/266.29 peptides
sm/sl glands: 1382/392.93 peptides",not detected,17.4
O76015,KRT38,"Keratin, type I cuticular Ha8",,"saliva: 104/24.62 peptides
parotid gland: 48/22.77 peptides
sm/sl glands: 28/16.93 peptides",n/a,n/a
O76013,KRT36,"Keratin, type I cuticular Ha6",,"saliva: 158/29.44 peptides
parotid gland: 50/14.17 peptides
sm/sl glands: 28/16.12 peptides",n/a,n/a
Q14532,KRT32,"Keratin, type I cuticular Ha2",,"saliva: 68/15.85 peptides
parotid gland: 54/21.7 peptides
sm/sl glands: 28/16.93 peptides",n/a,n/a
Q15323,KRT31,"Keratin, type I cuticular Ha1",,"saliva: 104/16.9 peptides
parotid gland: 59/17.91 peptides
sm/sl glands: 35/21.76 peptides",n/a,n/a
Q8IXQ5,KLHL7,Kelch-like protein 7,,"saliva: 37/5.43 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
A6NCF5,KLHL33,Kelch-like protein 33,,"saliva: 6/1.31 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9H0H3,KLHL25,Kelch-like protein 25,,"saliva: 212/27.96 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,6.2
Q9Y2M5,KLHL20,Kelch-like protein 20,,"saliva: 9/1.4 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,11.3
Q6TDP4,KLHL17,Kelch-like protein 17,,"saliva: 34/6.03 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q53G59,KLHL12,Kelch-like protein 12,,"saliva: 6/1.13 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O94819,KBTBD11,Kelch repeat and BTB domain-containing protein 11,,"saliva: 96/14.23 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9BW62,KATNAL1,Katanin p60 ATPase-containing subunit A-like 1,,"saliva: 7/0.98 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P29622,SERPINA4,Kallistatin,,"saliva: 2/0.44 peptides
parotid gland: 2/0.04 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q92876,KLK6,Kallikrein-6,,"saliva: 389/143.18 peptides
parotid gland: 4/0.43 peptides
sm/sl glands: 2/0.18 peptides",?,5.9
Q9Y337,KLK5,Kallikrein-5,,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.2 peptides",not detected,7
Q9UKR3,KLK13,Kallikrein-13,,"saliva: 246/64.08 peptides
parotid gland: 15/1.31 peptides
sm/sl glands: 2/0.35 peptides",not detected,12.4
Q9UKR0,KLK12,Kallikrein-12,,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 4/0.66 peptides",?,16.6
Q9UBX7,KLK11,Kallikrein-11,,"saliva: 229/56.04 peptides
parotid gland: 18/1.84 peptides
sm/sl glands: 50/14.35 peptides",low,96.5
O43240,KLK10,Kallikrein-10,,"saliva: 5/0.43 peptides
parotid gland: 0/0 peptides
sm/sl glands: 3/0.27 peptides",?,11
P06870,KLK1,Kallikrein-1,,"saliva: 2611/1379.37 peptides
parotid gland: 244/88.94 peptides
sm/sl glands: 263/181.23 peptides",?,473
Q9UK76,JPT1,Jupiter microtubule associated homolog 1,,"saliva: 153/137.76 peptides
parotid gland: 3/0.4 peptides
sm/sl glands: 0/0 peptides",medium,15.9
Q8WXH2,JPH3,Junctophilin-3,,"saliva: 5/0.41 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9P266,JCAD,Junctional protein associated with coronary artery disease,,"saliva: 70/3.86 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8N9B5,JMY,Junction-mediating and -regulatory protein,,"saliva: 3/0.21 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P14923,JUP,Junction plakoglobin,,"saliva: 21/1.68 peptides
parotid gland: 24/0.32 peptides
sm/sl glands: 15/0.51 peptides",n/a,n/a
Q8N157,AHI1,Jouberin,,"saliva: 4/0.24 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q5VZ66,JAKMIP3,Janus kinase and microtubule-interacting protein 3,,"saliva: 253/15.99 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96AA8,JAKMIP2,Janus kinase and microtubule-interacting protein 2,,"saliva: 113/7.43 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96N16,JAKMIP1,Janus kinase and microtubule-interacting protein 1,,"saliva: 55/5.75 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P48735,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial",,"saliva: 159/28.24 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.09 peptides",n/a,n/a
O75874,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic,,"saliva: 37/6.23 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P50213,IDH3A,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.15 peptides",n/a,n/a
Q9UPP2,IQSEC3,IQ motif and SEC7 domain-containing protein 3,,"saliva: 16/1.3 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9H0B3,IQCN,IQ domain-containing protein N,,"saliva: 237/16.16 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q6IPM2,IQCE,IQ domain-containing protein E,,"saliva: 3/0.34 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q4KMZ1,IQCC,IQ domain-containing protein C,,"saliva: 4/0.6 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8N2Y8,RUSC2,Iporin,,"saliva: 52/4.14 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,11.1
P07476,IVL,Involucrin,,"saliva: 2896/430.2 peptides
parotid gland: 433/20.37 peptides
sm/sl glands: 96/11 peptides",not detected,18.7
Q27J81,INF2,Inverted formin-2,,"saliva: 104/7.29 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9Y283,INVS,Inversin,,"saliva: 3/0.25 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8WYA0,IFT81,Intraflagellar transport protein 81 homolog,,"saliva: 35/2.65 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96LB3,IFT74,Intraflagellar transport protein 74 homolog,,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.05 peptides",n/a,n/a
Q96RY7,IFT140,Intraflagellar transport protein 140 homolog,,"saliva: 2/0.15 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9BZV3,IMPG2,Interphotoreceptor matrix proteoglycan 2,,"saliva: 85/9.11 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P40189,IL6ST,Interleukin-6 receptor subunit beta,,"saliva: 27/2.54 peptides
parotid gland: 2/0.02 peptides
sm/sl glands: 2/0.06 peptides",n/a,n/a
Q9UBH0,IL36RN,Interleukin-36 receptor antagonist protein,,"saliva: 313/221.78 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",?,2.3
Q9NZH8,IL36G,Interleukin-36 gamma,,"saliva: 0/0 peptides
parotid gland: 0/0 peptides
sm/sl glands: 2/0.36 peptides",n/a,n/a
Q9UHA7,IL36A,Interleukin-36 alpha,,"saliva: 615/288.6 peptides
parotid gland: 28/4.55 peptides
sm/sl glands: 2/0.25 peptides",?,6.3
Q9HB29,IL1RL2,Interleukin-1 receptor-like 2,,"saliva: 81/14.85 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O43187,IRAK2,Interleukin-1 receptor-associated kinase-like 2,,"saliva: 15/2.12 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9NWZ3,IRAK4,Interleukin-1 receptor-associated kinase 4,,"saliva: 6/1.1 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P18510,IL1RN,Interleukin-1 receptor antagonist protein,,"saliva: 932/485.59 peptides
parotid gland: 207/36.49 peptides
sm/sl glands: 68/30.26 peptides",not detected,30.9
Q9NPH3,IL1RAP,Interleukin-1 receptor accessory protein,,"saliva: 263/32.17 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,4.7
Q12906,ILF3,Interleukin enhancer-binding factor 3,,"saliva: 7/0.7 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q7Z2Y8,GVINP1,Interferon-induced very large GTPase 1,,"saliva: 60/1.92 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q7Z5L9,IRF2BP2,Interferon regulatory factor 2-binding protein 2,,"saliva: 129/22.93 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P01567,IFNA7,Interferon alpha-7,,"saliva: 6/2.21 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q14624,ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4,,"saliva: 21/2.37 peptides
parotid gland: 5/0.09 peptides
sm/sl glands: 3/0.08 peptides",n/a,n/a
P19823,ITIH2,Inter-alpha-trypsin inhibitor heavy chain H2,,"saliva: 115/9.46 peptides
parotid gland: 2/0.02 peptides
sm/sl glands: 4/0.09 peptides",n/a,n/a
P19827,ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,,"saliva: 78/7.33 peptides
parotid gland: 0/0 peptides
sm/sl glands: 3/0.07 peptides",n/a,n/a
Q9H0C8,ILKAP,Integrin-linked kinase-associated serine/threonine phosphatase 2C,,"saliva: 4/0.75 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P18084,ITGB5,Integrin beta-5,,"saliva: 90/12.23 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P16144,ITGB4,Integrin beta-4,,"saliva: 59/3 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P05107,ITGB2,Integrin beta-2,,"saliva: 9/0.21 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P20702,ITGAX,Integrin alpha-X,,"saliva: 188/15.84 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P11215,ITGAM,Integrin alpha-M,,"saliva: 8/0.69 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P20701,ITGAL,Integrin alpha-L,,"saliva: 324/30.26 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,6.6
P23229,ITGA6,Integrin alpha-6,,"saliva: 2/0.13 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P17301,ITGA2,Integrin alpha-2,,"saliva: 30/3.45 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9UKX5,ITGA11,Integrin alpha-11,,"saliva: 115/8.72 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q96HW7,INTS4,Integrator complex subunit 4,,"saliva: 98/8.66 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9NVM9,INTS13,Integrator complex subunit 13,,"saliva: 13/1.3 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9NVR2,INTS10,Integrator complex subunit 10,,"saliva: 200/21.57 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8N201,INTS1,Integrator complex subunit 1,,"saliva: 14/0.54 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q16270,IGFBP7,Insulin-like growth factor-binding protein 7,,"saliva: 0/0 peptides
parotid gland: 3/0.08 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O00425,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,,"saliva: 2/0.31 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P14735,IDE,Insulin-degrading enzyme,,"saliva: 1/0.07 peptides
parotid gland: 0/0 peptides
sm/sl glands: 5/0.1 peptides",n/a,n/a
O14654,IRS4,Insulin receptor substrate 4,,"saliva: 63/4.18 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P06213,INSR,Insulin receptor,,"saliva: 11/0.45 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9H8X2,IPPK,Inositol-pentakisphosphate 2-kinase,,"saliva: 6/1.09 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O15327,INPP4B,Inositol polyphosphate 4-phosphatase type II,,"saliva: 18/1.64 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
O14732,IMPA2,Inositol monophosphatase 2,,"saliva: 174/36.59 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,9.8
Q6PFW1,PPIP5K1,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1,,"saliva: 73/7.02 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q3MIP1,ITPRIPL2,"Inositol 1,4,5-trisphosphate receptor-interacting protein-like 2",,"saliva: 9/1.27 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q14573,ITPR3,"Inositol 1,4,5-trisphosphate receptor type 3",,"saliva: 511/16.33 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q14571,ITPR2,"Inositol 1,4,5-trisphosphate receptor type 2",,"saliva: 18/0.52 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P12268,IMPDH2,Inosine-5'-monophosphate dehydrogenase 2,,"saliva: 50/7.76 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P20839,IMPDH1,Inosine-5'-monophosphate dehydrogenase 1,,"saliva: 60/10.97 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9UK53,ING1,Inhibitor of growth protein 1,,"saliva: 2/0.26 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q9P2D0,IBTK,Inhibitor of Bruton tyrosine kinase,,"saliva: 10/0.61 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P08476,INHBA,Inhibin beta A chain,,"saliva: 49/8.89 peptides
parotid gland: 4/0.06 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q70EL1,USP54,Inactive ubiquitin carboxyl-terminal hydrolase 54,,"saliva: 198/10.09 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q86YV5,PRAG1,Inactive tyrosine-protein kinase PRAG1,,"saliva: 23/1.76 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",medium,1.7
Q8IWB6,TEX14,Inactive serine/threonine-protein kinase TEX14,,"saliva: 169/9.7 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q58DX5,NAALADL2,Inactive N-acetylated-alpha-linked acidic dipeptidase-like protein 2,,"saliva: 5/0.58 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,17
Q8IZD2,KMT2E,Inactive histone-lysine N-methyltransferase 2E,,"saliva: 731/35.71 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,19.6
Q8N608,DPP10,Inactive dipeptidyl peptidase 10,,"saliva: 7/0.84 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,1
O00410,IPO5,Importin-5,,"saliva: 7/0.7 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",low,12.8
Q9UI26,IPO11,Importin-11,,"saliva: 2/0.19 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",not detected,14.8
O75054,IGSF3,Immunoglobulin superfamily member 3,,"saliva: 145/10.09 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
Q8N9C0,IGSF22,Immunoglobulin superfamily member 22,,"saliva: 498/32.82 peptides
parotid gland: 0/0 peptides
sm/sl glands: 1/0.04 peptides",?,22.7
Q6WRI0,IGSF10,Immunoglobulin superfamily member 10,,"saliva: 13/0.43 peptides
parotid gland: 0/0 peptides
sm/sl glands: 0/0 peptides",n/a,n/a
P0DOX6,,Immunoglobulin mu heavy chain,,"saliva: 977/130.72 peptides
parotid gland: 527/32.49 peptides
sm/sl glands: 538/68.13 peptides",n/a,n/a
