UniProt Accession,Entry name,Status,Protein names,Gene names,Organism,Length,3D,Cross-reference (SMR),,
P05692,LEGJ_PEA,reviewed,Legumin J [Cleaved into: Legumin J alpha chain (Legumin J acidic chain); Legumin J beta chain (Legumin J basic chain)],LEGJ,Pisum sativum (Garden pea),503,,P05692;,,
P17227,PSAI_PEA,reviewed,Photosystem I reaction center subunit VIII (PSI-I),psaI,Pisum sativum (Garden pea),40,X-ray crystallography (9); Model (1),P17227;,,
P06004,PSBC_PEA,reviewed,Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Photosystem II 44 kDa chlorophyll apoprotein) (Protein CP-43),psbC,Pisum sativum (Garden pea),473,Electron microscopy (2),P06004;,,
P51850,PDC1_PEA,reviewed,Pyruvate decarboxylase 1 (PDC) (EC 4.1.1.1),PDC1,Pisum sativum (Garden pea),593,,P51850;,,
Q9SM59,PGMP_PEA,reviewed,"Phosphoglucomutase, chloroplastic (PGM) (EC 5.4.2.2) (Glucose phosphomutase)",PGMP RUG3,Pisum sativum (Garden pea),626,,Q9SM59;,,
Q8HS25,PSBT_PEA,reviewed,Photosystem II reaction center protein T (PSII-T),psbT,Pisum sativum (Garden pea),35,Electron microscopy (2),Q8HS25;,,
P08241,RR2_PEA,reviewed,"30S ribosomal protein S2, chloroplastic",rps2,Pisum sativum (Garden pea),236,,P08241;,,
P27084,SODM_PEA,reviewed,"Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)",SODA,Pisum sativum (Garden pea),233,,P27084;,,
Q02610,SODC_PEA,reviewed,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1),SODCC,Pisum sativum (Garden pea),152,,Q02610;,,
Q9ZST8,TIC20_PEA,reviewed,"Protein TIC 20, chloroplastic (Translocon at the inner envelope membrane of chloroplasts 20) (PsTIC20)",TIC20 IAP21 TIC(21),Pisum sativum (Garden pea),253,,,,
P29502,TBB3_PEA,reviewed,Tubulin beta-3 chain (Beta-3-tubulin) (Fragment),TUBB3 TUB3,Pisum sativum (Garden pea),440,,P29502;,,
P08927,RUBB_PEA,reviewed,"RuBisCO large subunit-binding protein subunit beta, chloroplastic (60 kDa chaperonin subunit beta) (CPN-60 beta)",,Pisum sativum (Garden pea),595,,P08927;,,
A7VLV2,SGRM_PEA,reviewed,"Non-functional protein STAY-GREEN, chloroplastic (Protein STAYGREEN)",SGR,Pisum sativum (Garden pea),263,,,,
P30706,PLSB_PEA,reviewed,"Glycerol-3-phosphate acyltransferase, chloroplastic (GPAT) (EC 2.3.1.15)",GPAT,Pisum sativum (Garden pea),457,,P30706;,,
P02856,VCL1_PEA,reviewed,"Vicilin, 14 kDa component",,Pisum sativum (Garden pea),124,,,,
P82327,UT108_PEA,reviewed,Unknown protein from spot 108 of 2D-PAGE of thylakoid (Fragment),,Pisum sativum (Garden pea),14,,,,
P48384,TRXM_PEA,reviewed,"Thioredoxin M-type, chloroplastic (Trx-M)",,Pisum sativum (Garden pea),172,,P48384;,,
P29450,TRXF_PEA,reviewed,"Thioredoxin F-type, chloroplastic (Trx-F)",,Pisum sativum (Garden pea),182,,P29450;,,
P82340,UT204_PEA,reviewed,Unknown protein from spot 204 of 2D-PAGE of thylakoid (Fragment),,Pisum sativum (Garden pea),14,,,,
P82324,UT105_PEA,reviewed,Unknown protein from spot 105 of 2D-PAGE of thylakoid (Fragment),,Pisum sativum (Garden pea),8,,,,
P82326,UT107_PEA,reviewed,Unknown protein from spot 107 of 2D-PAGE of thylakoid (Fragment),,Pisum sativum (Garden pea),14,,,,
P52904,ODPB_PEA,reviewed,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)",,Pisum sativum (Garden pea),359,,P52904;,,
P40590,RL34_PEA,reviewed,60S ribosomal protein L34,RPL34,Pisum sativum (Garden pea),120,,P40590;,,
P46298,RS13_PEA,reviewed,40S ribosomal protein S13,RPS13,Pisum sativum (Garden pea),151,,P46298;,,
Q43086,PYRB1_PEA,reviewed,"Aspartate carbamoyltransferase 1, chloroplastic (EC 2.1.3.2) (Aspartate transcarbamylase 1) (ATCase 1)",PYRB1,Pisum sativum (Garden pea),386,,Q43086;,,
Q01289,POR_PEA,reviewed,"Protochlorophyllide reductase, chloroplastic (PCR) (EC 1.3.1.33) (NADPH-protochlorophyllide oxidoreductase) (POR)",3PCR,Pisum sativum (Garden pea),399,,Q01289;,,
Q84N37,PVIP_PEA,reviewed,OBERON-like protein (Potyvirus VPg-interacting protein) (PVIPp) (Fragment),PVIP,Pisum sativum (Garden pea),513,,,,
Q9XQR4,PSBN_PEA,reviewed,Protein PsbN,psbN,Pisum sativum (Garden pea),43,,Q9XQR4;,,
Q9ZTR1,SPDS1_PEA,reviewed,Spermidine synthase 1 (SPDSY 1) (EC 2.5.1.16) (Putrescine aminopropyltransferase 1),SPDSYN1,Pisum sativum (Garden pea),334,,Q9ZTR1;,,
P06452,ATPI_PEA,reviewed,"ATP synthase subunit a, chloroplastic (ATP synthase F0 sector subunit a) (F-ATPase subunit IV)",atpI,Pisum sativum (Garden pea),247,,,,
P25470,H2A1_PEA,reviewed,Histone H2A.1,,Pisum sativum (Garden pea),150,,P25470;,,
P09886,HS21C_PEA,reviewed,"Small heat shock protein, chloroplastic",HSP21,Pisum sativum (Garden pea),232,,P09886;,,
P08744,COX2_PEA,reviewed,Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II),COX2 COII,Pisum sativum (Garden pea),258,,P08744;,,
G8GTN7,COCH_PEA,reviewed,BTB/POZ domain and ankyrin repeat-containing protein COCH (Protein COCHLEATA),COCH,Pisum sativum (Garden pea),483,,G8GTN7;,,
P46257,ALF2_PEA,reviewed,"Fructose-bisphosphate aldolase, cytoplasmic isozyme 2 (EC 4.1.2.13)",,Pisum sativum (Garden pea),359,,P46257;,,
P19244,HSP41_PEA,reviewed,22.7 kDa class IV heat shock protein,HSP22.7,Pisum sativum (Garden pea),197,,P19244;,,
Q9ZRA3,DAD1_PEA,reviewed,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1) (Defender against cell death 1) (DAD-1) (Peadad),DAD1,Pisum sativum (Garden pea),117,,Q9ZRA3;,,
Q01783,DF230_PEA,reviewed,Defensin-like protein 230 (Disease resistance response protein 230),PI230,Pisum sativum (Garden pea),72,,Q01783;,,
Q7M258,FER2_PEA,reviewed,Ferredoxin-2 (Ferredoxin II) (Fragment),,Pisum sativum (Garden pea),40,,Q7M258;,,
P52576,IFR_PEA,reviewed,Isoflavone reductase (IFR) (EC 1.3.1.45) (2'-hydroxyisoflavone reductase) (NADPH:isoflavone oxidoreductase),IFR,Pisum sativum (Garden pea),318,,P52576;,,
O04408,KSA_PEA,reviewed,"Ent-copalyl diphosphate synthase, chloroplastic (Ent-CDP synthase) (EC 5.5.1.13) (Ent-copalyl diphosphate synthase) (Ent-kaurene synthase A) (KSA)",,Pisum sativum (Garden pea),801,,O04408;,,
P15001,PHYA_PEA,reviewed,Phytochrome A,PHYA,Pisum sativum (Garden pea),1124,,,,
P17226,PSAK_PEA,reviewed,"Photosystem I reaction center subunit psaK, chloroplastic (Light-harvesting 5 kDa protein) (PSI-K) (Photosystem I subunit X) (Fragment)",PSAK,Pisum sativum (Garden pea),20,,,,
P36875,2AAA_PEA,reviewed,Protein phosphatase PP2A regulatory subunit A (PR65) (Fragment),,Pisum sativum (Garden pea),395,,P36875;,,
P25226,NO5_PEA,reviewed,Early nodulin-5 (N-5),ENOD5,Pisum sativum (Garden pea),135,,,,
Q04708,P5CR_PEA,reviewed,Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2),PROC,Pisum sativum (Garden pea),273,,Q04708;,,
P55959,NO40_PEA,reviewed,Early nodulin-40,ENOD40,Pisum sativum (Garden pea),13,,,,
O24296,GPX1_PEA,reviewed,"Phospholipid hydroperoxide glutathione peroxidase, chloroplastic (PHGPx) (EC 1.11.1.12)",,Pisum sativum (Garden pea),236,,O24296;,,
P49679,IAA4_PEA,reviewed,Auxin-induced protein IAA4,IAA4/5,Pisum sativum (Garden pea),189,NMR spectroscopy (1),P49679;,,
A0A158V976,NLTP3_PEA,reviewed,Non-specific lipid-transfer protein 3 (PsLTP1),,Pisum sativum (Garden pea),119,,A0A158V976;,,
P26415,NO14_PEA,reviewed,Nodulin-14 (N-14) (Fragment),ENOD14,Pisum sativum (Garden pea),61,,,,
P19243,HSP11_PEA,reviewed,18.1 kDa class I heat shock protein (HSP 18.1),HSP18.1,Pisum sativum (Garden pea),158,X-ray crystallography (1),P19243;,,
Q00665,NO12B_PEA,reviewed,Early nodulin-12B (N-12B),ENOD12B,Pisum sativum (Garden pea),86,,,,
P47922,NDK1_PEA,reviewed,Nucleoside diphosphate kinase 1 (EC 2.7.4.6) (Nucleoside diphosphate kinase I) (NDK I) (NDP kinase I) (NDPK I),NDPK1 NDKN1,Pisum sativum (Garden pea),149,,P47922;,,
O48668,LGB2_PEA,reviewed,Leghemoglobin Lb5-10,,Pisum sativum (Garden pea),147,,O48668;,,
P46258,ACT3_PEA,reviewed,Actin-3,,Pisum sativum (Garden pea),377,,P46258;,,
P51851,PDC2_PEA,reviewed,Pyruvate decarboxylase 2 (PDC) (EC 4.1.1.1) (Fragment),PDC2,Pisum sativum (Garden pea),405,,P51851;,,
P60147,PSBL_PEA,reviewed,Photosystem II reaction center protein L (PSII-L),psbL,Pisum sativum (Garden pea),38,Electron microscopy (2),P60147;,,
Q06060,MPK_PEA,reviewed,Mitogen-activated protein kinase homolog D5 (EC 2.7.11.24),,Pisum sativum (Garden pea),394,,Q06060;,,
P20121,PSAH_PEA,reviewed,Photosystem I reaction center subunit VI (Light-harvesting complex I 11 kDa protein) (PSI-H) (Fragment),PSAH,Pisum sativum (Garden pea),36,,,,
Q5YJU1,MATK_PEA,reviewed,Maturase K (Intron maturase),matK,Pisum sativum (Garden pea),506,,,,
P17772,OSS2_PEA,reviewed,Organ-specific protein S2,,Pisum sativum (Garden pea),181,,,,
P17229,PSAJ_PEA,reviewed,Photosystem I reaction center subunit IX (PSI-J) (Fragment),psaJ,Pisum sativum (Garden pea),13,,,,
Q9SLZ4,RBR1_PEA,reviewed,Retinoblastoma-related protein 1 (PsRB1),RBR1,Pisum sativum (Garden pea),1026,,,,
P16329,NO75_PEA,reviewed,Early nodulin-75 (N-75) (NGM-75) (Fragment),ENOD2,Pisum sativum (Garden pea),112,,,,
O82134,PCNA_PEA,reviewed,Proliferating cell nuclear antigen,PCNA,Pisum sativum (Garden pea),266,,O82134;,,
Q43064,PYRB3_PEA,reviewed,"Aspartate carbamoyltransferase 3, chloroplastic (EC 2.1.3.2) (Aspartate transcarbamylase 3) (ATCase 3)",PYRB3,Pisum sativum (Garden pea),391,,Q43064;,,
P25225,NO3_PEA,reviewed,Nodulin-3 (N-3),ENOD3,Pisum sativum (Garden pea),69,,,,
Q9SM60,PGMC_PEA,reviewed,"Phosphoglucomutase, cytoplasmic (PGM) (EC 5.4.2.2) (Glucose phosphomutase)",PGM1 PGM,Pisum sativum (Garden pea),582,,Q9SM60;,,
O82711,PIP22_PEA,reviewed,Kunitz-type trypsin inhibitor-like 2 protein (Protease inhibitor from pea 2),PIP20-2 FUC2,Pisum sativum (Garden pea),217,,O82711;,,
Q35639,NU5M_PEA,reviewed,NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5) (Fragment),NDH5,Pisum sativum (Garden pea),183,,,,
P0C891,OEP80_PEA,reviewed,"Outer envelope protein 80, chloroplastic (Chloroplastic outer envelope protein of 80 kDa) (PsOEP80) (Fragments)",OEP80,Pisum sativum (Garden pea),158,,,,
Q43814,OTC_PEA,reviewed,"Ornithine carbamoyltransferase, chloroplastic (EC 2.1.3.3) (Ornithine transcarbamylase) (OTCase)",ARGF,Pisum sativum (Garden pea),375,,Q43814;,,
P25794,PIP2_PEA,reviewed,Probable aquaporin PIP-type 7a (Turgor-responsive protein 31) (Turgor-responsive protein 7a),TRG-31,Pisum sativum (Garden pea),289,,P25794;,,
E9KID3,NOD3_PEA,reviewed,Hydroxyproline O-arabinosyltransferase NOD3 (EC 2.4.2.58) (Protein NODULATION 3) (PsNOD3) (Fragment),NOD3,Pisum sativum (Garden pea),334,,,,
Q32905,NU5C_PEA,reviewed,"NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 5) (NADH-plastoquinone oxidoreductase subunit 5) (Fragment)",ndhF ndh5,Pisum sativum (Garden pea),124,,,,
Q8VWN6,RFS_PEA,reviewed,Galactinol--sucrose galactosyltransferase (EC 2.4.1.82) (Raffinose synthase),RFS,Pisum sativum (Garden pea),798,,,,
P31163,RK2_PEA,reviewed,"50S ribosomal protein L2, chloroplastic",rpl2,Pisum sativum (Garden pea),273,,P31163;,,
Q32902,PSBZ_PEA,reviewed,Photosystem II reaction center protein Z (PSII-Z),psbZ ycf9,Pisum sativum (Garden pea),62,Electron microscopy (2),Q32902;,,
P16059,PSBP_PEA,reviewed,"Oxygen-evolving enhancer protein 2, chloroplastic (OEE2) (23 kDa subunit of oxygen evolving system of photosystem II) (23 kDa thylakoid membrane protein) (OEC 23 kDa subunit)",PSBP,Pisum sativum (Garden pea),259,Electron microscopy (1),P16059;,,
P20830,MT1_PEA,reviewed,Metallothionein-like protein 1 (MT-1),MTA,Pisum sativum (Garden pea),75,,,,
P20799,NO12A_PEA,reviewed,Early nodulin-12A (N-12A),ENOD12A ENOD12,Pisum sativum (Garden pea),110,,,,
Q04593,PAL2_PEA,reviewed,Phenylalanine ammonia-lyase 2 (EC 4.3.1.24),PAL2,Pisum sativum (Garden pea),724,,Q04593;,,
Q9ZP40,PG1_PEA,reviewed,"Plastoglobulin-1, chloroplastic",PG1,Pisum sativum (Garden pea),358,,,,
O80405,LGB3_PEA,reviewed,Leghemoglobin Lb120-1,,Pisum sativum (Garden pea),146,,O80405;,,
P51416,RK33_PEA,reviewed,"50S ribosomal protein L33, chloroplastic (Fragment)",rpl33,Pisum sativum (Garden pea),40,,P51416;,,
Q43072,HIS7_PEA,reviewed,"Imidazoleglycerol-phosphate dehydratase, chloroplastic (IGPD) (EC 4.2.1.19)",HIS3,Pisum sativum (Garden pea),281,,Q43072;,,
Q03943,IM30_PEA,reviewed,"Membrane-associated 30 kDa protein, chloroplastic (M30)",IM30,Pisum sativum (Garden pea),323,,Q03943;,,
Q41065,IBBA_PEA,reviewed,Seed trypsin/chymotrypsin inhibitor IVA (PSTI IVA) (TI12-36) [Cleaved into: Seed trypsin/chymotrypsin inhibitor I (PSTI I)] (Fragment),TI1236,Pisum sativum (Garden pea),96,,Q41065;,,
P52914,NTPA_PEA,reviewed,Nucleoside-triphosphatase (NTPase) (EC 3.6.1.15) (Nucleoside triphosphate phosphohydrolase) (Apyrase),,Pisum sativum (Garden pea),455,,P52914;,,
P13555,PSBJ_PEA,reviewed,Photosystem II reaction center protein J (PSII-J),psbJ,Pisum sativum (Garden pea),40,Electron microscopy (2),P13555;,,
P11894,RK9_PEA,reviewed,"50S ribosomal protein L9, chloroplastic (CL9)",RPL9,Pisum sativum (Garden pea),194,,P11894;,,
P55844,RL14_PEA,reviewed,Probable 60S ribosomal protein L14 (Hydroxyproline-rich glycoprotein HRGP1),,Pisum sativum (Garden pea),133,,,,
P52902,ODPA_PEA,reviewed,"Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial (PDHE1-A) (EC 1.2.4.1)",,Pisum sativum (Garden pea),397,,P52902;,,
P23408,RK22_PEA,reviewed,"50S ribosomal protein L22, chloroplastic (CL22)",rpl22,Pisum sativum (Garden pea),204,,P23408;,,
P06587,RR11_PEA,reviewed,"30S ribosomal protein S11, chloroplastic",rps11,Pisum sativum (Garden pea),138,,P06587;,,
A0A158V755,NLTP2_PEA,reviewed,Non-specific lipid-transfer protein 2 (PsLTP2),,Pisum sativum (Garden pea),120,,A0A158V755;,,
Q9XQR3,PSBH_PEA,reviewed,Photosystem II reaction center protein H (PSII-H) (Photosystem II 10 kDa phosphoprotein) (Photosystem II 9 kDa phosphoprotein),psbH,Pisum sativum (Garden pea),73,Electron microscopy (2),Q9XQR3;,,
P05638,RR14_PEA,reviewed,"30S ribosomal protein S14, chloroplastic",rps14,Pisum sativum (Garden pea),100,,P05638;,,
P16002,PLAS_PEA,reviewed,"Plastocyanin, chloroplastic",PETE,Pisum sativum (Garden pea),168,,P16002;,,
P20120,PSAG_PEA,reviewed,Photosystem I reaction center subunit V (PSI-G) (Photosystem I 9 kDa protein) (Fragment),PSAG,Pisum sativum (Garden pea),39,X-ray crystallography (2),P20120;,,
P62096,PSBF_PEA,reviewed,Cytochrome b559 subunit beta (PSII reaction center subunit VI),psbF,Pisum sativum (Garden pea),39,Electron microscopy (2),P62096;,,
Q35638,RHO1_PEA,reviewed,Rac-like GTP-binding protein RHO1 (GTPase protein ROP1),RHO1,Pisum sativum (Garden pea),197,,Q35638;,,
P62123,RL41_PEA,reviewed,60S ribosomal protein L41,RPL41,Pisum sativum (Garden pea),25,,P62123;,,
P17092,RR17_PEA,reviewed,"30S ribosomal protein S17, chloroplastic (CS17) (Fragment)",RPS17,Pisum sativum (Garden pea),134,,P17092;,,
Q01861,PAL1_PEA,reviewed,Phenylalanine ammonia-lyase 1 (EC 4.3.1.24),PAL1,Pisum sativum (Garden pea),723,,Q01861;,,
Q43087,PYRB2_PEA,reviewed,"Aspartate carbamoyltransferase 2, chloroplastic (EC 2.1.3.2) (Aspartate transcarbamylase 2) (ATCase 2)",PYRB2,Pisum sativum (Garden pea),385,,Q43087;,,
P07689,RBS3_PEA,reviewed,"Ribulose bisphosphate carboxylase small chain 3A, chloroplastic (RuBisCO small subunit 3A) (EC 4.1.1.39)",RBCS-3A,Pisum sativum (Garden pea),180,X-ray crystallography (2),P07689;,,
P82339,PSAN_PEA,reviewed,Photosystem I reaction center subunit N (PSI-N) (Fragment),PSAN,Pisum sativum (Garden pea),14,,,,
P19589,PSBQ_PEA,reviewed,Oxygen-evolving enhancer protein 3 (OEE3) (16 kDa subunit of oxygen-evolving system of photosystem II) (Fragment),PSBQ,Pisum sativum (Garden pea),32,,,,
P20117,PSAD_PEA,reviewed,Photosystem I reaction center subunit II (Photosystem I 21 kDa subunit) (PSI-D) (Fragment),psaD,Pisum sativum (Garden pea),36,,,,
P29500,TBB1_PEA,reviewed,Tubulin beta-1 chain (Beta-1-tubulin),TUBB1 TUB1,Pisum sativum (Garden pea),450,,P29500;,,
P20119,PSAF_PEA,reviewed,Photosystem I reaction center subunit III (Light-harvesting complex I 17 kDa protein) (PSI-F) (Fragment),PSAF,Pisum sativum (Garden pea),20,,,,
P31022,RAB7_PEA,reviewed,Ras-related protein Rab7,,Pisum sativum (Garden pea),206,,P31022;,,
P49169,RR18_PEA,reviewed,"30S ribosomal protein S18, chloroplastic",rps18,Pisum sativum (Garden pea),110,,P49169;,,
Q43075,SPE1_PEA,reviewed,Arginine decarboxylase (ADC) (ARGDC) (EC 4.1.1.19),,Pisum sativum (Garden pea),728,,Q43075;,,
I6YUF7,I6YUF7_PEA,unreviewed,Putative LysM receptor kinase (Fragment),K1,Pisum sativum (Garden pea),210,,,,
A0A0K0L4P2,A0A0K0L4P2_PEA,unreviewed,ADP-glucose pyrophosphorylase S2 subunit (Fragment),,Pisum sativum (Garden pea),70,,,,
Q76FR9,Q76FR9_PEA,unreviewed,"12-oxophytodienoic acid 10, 11-reductase",PsOPR5 OPR5,Pisum sativum (Garden pea),368,,,,
A0A0K0L2S7,A0A0K0L2S7_PEA,unreviewed,UDP-glucose pyrophosphorylase (Fragment),UGP,Pisum sativum (Garden pea),46,,,,
D5MAL2,D5MAL2_PEA,unreviewed,"50S ribosomal protein L33, chloroplastic",rpl33,Pisum sativum (Garden pea),66,,,,
A0A0K0KYG3,A0A0K0KYG3_PEA,unreviewed,Beta-amylase (EC 3.2.1.2) (Fragment),,Pisum sativum (Garden pea),92,,,,
A0A0K0L030,A0A0K0L030_PEA,unreviewed,Isoamylase isoform 3 (Fragment),Iso3,Pisum sativum (Garden pea),39,,,,
P93486,P93486_PEA,unreviewed,Glycine-rich RNA-binding protein (Glycine-rich RNA-binding protein PsGRBP),,Pisum sativum (Garden pea),146,,P93486;,,
C7EXK9,C7EXK9_PEA,unreviewed,L-ascorbate peroxidase (EC 1.11.1.11) (Fragment),stAPX,Pisum sativum (Garden pea),207,,,,
Q9ZTV0,Q9ZTV0_PEA,unreviewed,Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9),,Pisum sativum (Garden pea),294,,,,
Q4TU47,Q4TU47_PEA,unreviewed,CCS52A-like protein (Cell cycle switch protein CCS52A),,Pisum sativum (Garden pea),475,,,,
D5MAM7,D5MAM7_PEA,unreviewed,"50S ribosomal protein L16, chloroplastic",rpl16,Pisum sativum (Garden pea),135,,,,
Q8RVA9,Q8RVA9_PEA,unreviewed,Succinate dehydrogenase subunit 4,sdh4,Pisum sativum (Garden pea),223,,,,
X4Y7X3,X4Y7X3_PEA,unreviewed,mRNA cap-binding protein,eIF4E,Pisum sativum (Garden pea),228,,,,
Q6R6M7,Q6R6M7_PEA,unreviewed,Isocitrate dehydrogenase [NADP] (EC 1.1.1.42),,Pisum sativum (Garden pea),412,,,,
A0A4Y6JLT7,A0A4Y6JLT7_PEA,unreviewed,MLO-like protein,MLO1 MLO,Pisum sativum (Garden pea),574,,,,
A0A0F6NGG0,A0A0F6NGG0_PEA,unreviewed,Photosystem II reaction center protein J (PSII-J),psbJ,Pisum sativum (Garden pea),40,,,,
A0A0M6VD78,A0A0M6VD78_PEA,unreviewed,Stay Green Like,SGRL,Pisum sativum (Garden pea),259,,,,
D5MAL7,D5MAL7_PEA,unreviewed,Photosystem II reaction center protein T (PSII-T),psbT,Pisum sativum (Garden pea),35,,D5MAL7;,,
A0A0K0L3F7,A0A0K0L3F7_PEA,unreviewed,Granule bound starch synthase Ib (Fragment),,Pisum sativum (Garden pea),74,,,,
A0A0K0KZD5,A0A0K0KZD5_PEA,unreviewed,Chloroplast pullulanase 1-like protein (Fragment),,Pisum sativum (Garden pea),63,,,,
D5MAJ1,D5MAJ1_PEA,unreviewed,Cytochrome b559 subunit beta (PSII reaction center subunit VI),psbF,Pisum sativum (Garden pea),39,,D5MAJ1;,,
P93485,P93485_PEA,unreviewed,Actin,PEAc14,Pisum sativum (Garden pea),386,,,,
A0A0K0L0V5,A0A0K0L0V5_PEA,unreviewed,Starch branching enzyme II (Fragment),SbeII,Pisum sativum (Garden pea),44,,,,
A0A1S6R6N4,A0A1S6R6N4_PEA,unreviewed,Glyceraldehyde-3-phosphate dehydrogenase (Fragment),GapC1,Pisum sativum var. macrocarpum,201,,,,
O24609,O24609_PEA,unreviewed,1-aminocyclopropane-1-carboxylate synthase,ACS1,Pisum sativum (Garden pea),480,,,,
A0A0K0L4B9,A0A0K0L4B9_PEA,unreviewed,Isoamylase isoform 1 (Fragment),Iso1,Pisum sativum (Garden pea),67,,,,
Q6UGQ0,Q6UGQ0_PEA,unreviewed,Sat5 (Fragment),,Pisum sativum (Garden pea),31,,,,
D5MAG3,D5MAG3_PEA,unreviewed,Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39),rbcL,Pisum sativum (Garden pea),475,,D5MAG3;,,
A0A2H4UYF9,A0A2H4UYF9_PEA,unreviewed,Putative LysM receptor kinase K1 (Fragment),K1,Pisum sativum (Garden pea),211,,,,
Q76DT1,Q76DT1_PEA,unreviewed,AUX1-like auxin influx carrier protein (Putative auxin transport facilitator protein),PsAUX1,Pisum sativum (Garden pea),487,,,,
D5MAM0,D5MAM0_PEA,unreviewed,Cytochrome b6,petB,Pisum sativum (Garden pea),215,,,,
A0A0H3WD10,A0A0H3WD10_PEA,unreviewed,Cytokinin response regulator 4 (Two-component response regulator 3-like protein) (Type-A cytokinin response regulator 4),RR4 ARR3,Pisum sativum (Garden pea),218,,,,
A0A0K0KYE0,A0A0K0KYE0_PEA,unreviewed,Plastid phosphoglucomutase (Fragment),rug3,Pisum sativum (Garden pea),61,,,,
D5MAJ2,D5MAJ2_PEA,unreviewed,Photosystem II reaction center protein L (PSII-L),psbL,Pisum sativum (Garden pea),38,,D5MAJ2;,,
D5MAI0,D5MAI0_PEA,unreviewed,Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43),psbC,Pisum sativum (Garden pea),473,,D5MAI0;,,
A0EXV1,A0EXV1_PEA,unreviewed,mRNA cap-binding protein,eIF4Eiso eIFiso4E,Pisum sativum (Garden pea),204,,,,
A0A0K0KZF8,A0A0K0KZF8_PEA,unreviewed,Second sucrose synthase (Fragment),Sus2,Pisum sativum (Garden pea),15,,,,
A0A0F6NGJ7,A0A0F6NGJ7_PEA,unreviewed,"ATP synthase subunit alpha, chloroplastic (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)",atpA,Pisum sativum (Garden pea),501,,,,
Q2MHM7,Q2MHM7_PEA,unreviewed,Adenylate isopentenyltransferase (EC 2.5.1.27),PsIPT2,Pisum sativum (Garden pea),340,,,,
A0A0K0L3P1,A0A0K0L3P1_PEA,unreviewed,Granule bound starch synthase Ib (Fragment),,Pisum sativum (Garden pea),74,,,,
D5MAK4,D5MAK4_PEA,unreviewed,"30S ribosomal protein S2, chloroplastic",rps2,Pisum sativum (Garden pea),236,,D5MAK4;,,
Q6EAM9,Q6EAM9_PEA,unreviewed,Cryptochrome 2A apoprotein,CRY2A,Pisum sativum (Garden pea),629,,,,
A0A2D0TCJ1,A0A2D0TCJ1_PEA,unreviewed,"Chlorophyll a-b binding protein, chloroplastic",,Pisum sativum (Garden pea),244,Electron microscopy (2),,,
A0A218MJ98,A0A218MJ98_PEA,unreviewed,Auxin signaling F-box 4 (RMS2),AFB4,Pisum sativum (Garden pea),617,,,,
D5MAI3,D5MAI3_PEA,unreviewed,"NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase, subunit 2) (NADH-plastoquinone oxidoreductase subunit 2)",ndhB,Pisum sativum (Garden pea),492,,,,
Q93VB1,Q93VB1_PEA,unreviewed,Putative heme oxygenase 1,HO1,Pisum sativum (Garden pea),283,,,,
Q4LAR5,Q4LAR5_PEA,unreviewed,Glycine cleavage system H protein,gdcH,Pisum sativum (Garden pea),165,,Q4LAR5;,,
A0A0F6NG89,A0A0F6NG89_PEA,unreviewed,Cytochrome f,petA,Pisum sativum (Garden pea),320,,,,
A0A0K0KXV8,A0A0K0KXV8_PEA,unreviewed,Sucrose phosphatase-like protein (Fragment),,Pisum sativum (Garden pea),29,,,,
